=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,040,543,468",5.21%,14.74%,🔥 資金暴衝
Aptos,"$461,979,004",4.74%,7.59%,🔥 資金暴衝
Solana,"$9,063,722,175",3.22%,8.95%,🔥 資金暴衝
Mantle,"$347,410,487",3.09%,2.86%,🔥 資金暴衝
Ethereum,"$75,104,210,436",3.07%,10.13%,🔥 資金暴衝
OP Mainnet,"$307,499,486",2.68%,6.02%,🚀 加速流入
Base,"$4,858,141,374",2.49%,8.92%,🚀 加速流入
Arbitrum,"$3,116,400,249",1.98%,10.46%,🚀 加速流入
BSC,"$6,937,665,585",1.77%,6.51%,🚀 加速流入
Vaulta,"$394,858,135",1.69%,-5.88%,🟢 穩健增長
Avalanche,"$1,345,123,421",0.43%,7.08%,🟢 穩健增長
Cronos,"$395,164,931",0.11%,7.18%,🟢 穩健增長
Bitcoin,"$7,125,706,928",0.01%,6.72%,🟢 穩健增長
Tron,"$4,689,946,731",-0.12%,7.07%,⚠️ 資金流出
Hyperliquid L1,"$1,460,478,356",-0.73%,-0.93%,⚠️ 資金流出
Polygon,"$1,068,243,608",-3.86%,-8.54%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.053930,24.28%,"$251,001","$4,371,410",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008098,5.82%,"$91,269","$103,941",0.88,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$81,118","$376,205",0.22,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
solana,JLP,$4.770000,0.20%,"$9,654,988","$2,793,141",3.46,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,FARTCOIN ,$0.424900,7.12%,"$6,976,380","$13,522,462",0.52,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,KASH,$0.001642,10.02%,"$6,200,109","$150,676",41.15,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,MR. TARIFF,$0.000355,502.00%,"$4,208,821","$64,023",65.74,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
solana,BOB,$0.000192,236.00%,"$3,703,515","$47,857",77.39,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
ethereum,SUSDS,$1.082000,0.01%,"$139,823,518","$50,041,599",2.79,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,USDS,$1.000100,0.02%,"$43,436,675","$100,013,383",0.43,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,NUSD,$0.999800,-0.02%,"$7,758,187","$8,412,351",0.92,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,FRXUSD,$0.999800,-0.04%,"$3,724,996","$40,082,817",0.09,https://dexscreener.com/ethereum/0x13e12bb0e6a2f1a3d6901a59a9d585e89a6243e1
ethereum,ETH+,$3462.300000,1.54%,"$2,157,238","$20,929,430",0.10,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
optimism,OVER,$0.267800,-4.18%,"$52,275","$975,929",0.05,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$183.900000,-3.44%,"$19,171","$344,548",0.06,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OPP,$0.000435,10.72%,"$16,228","$168,996",0.10,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,TAROT,$0.052190,0.44%,"$3,529","$452,711",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
base,KUDABERI,$0.003304,12.54%,"$3,525,944","$361,059",9.77,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,ZORA,$0.042290,-5.16%,"$2,655,115","$11,504,634",0.23,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,VVV,$2.230000,16.99%,"$1,284,519","$6,714,993",0.19,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,RUSSELL,$0.007346,-3.07%,"$1,214,637","$710,437",1.71,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,REI,$0.019770,16.04%,"$961,889","$2,254,411",0.43,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
arbitrum,GNS,$1.120000,-2.79%,"$174,711","$631,818",0.28,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005067,906.00%,"$66,302","$191,344",0.35,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.390000,-0.44%,"$23,350","$58,912",0.40,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003071,4.30%,"$13,923","$288,840",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,PEAR,$0.029590,-0.45%,"$13,757","$997,737",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
bsc,RIVER,$21.730000,-9.33%,"$8,307,415","$156,721",53.01,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,CRYPTO WINTER,$0.000712,4615.00%,"$4,269,000","$115,605",36.93,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,ARK,$19.310000,-1.07%,"$3,934,960","$85,527,279",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.038080,42.95%,"$3,686,916","$2,897,910",1.27,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,雪球,$0.017500,106.00%,"$2,376,421","$519,993",4.57,https://dexscreener.com/bsc/0x8892138836eb5ec0f9c9e810efd19d542cf566b8
avalanche,AUSD,$1.000200,-0.01%,"$11,215,738","$2,463,331",4.55,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,2.24%,"$205,314","$976,725",0.21,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002309,5.75%,"$162,841","$334,929",0.49,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015750,11.42%,"$86,950","$340,579",0.26,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.069490,-2.64%,"$52,282","$787,181",0.07,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
cronos,MMF,$0.000125,-0.42%,$728,"$78,463",0.01,https://dexscreener.com/cronos/0xba452a1c0875d33a440259b1ea4dca8f5d86d9ae
cronos,H2,$0.000668,-0.34%,$335,"$109,224",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
cronos,FM,$0.007464,4.46%,$299,"$202,558",0.00,https://dexscreener.com/cronos/0x1577b7e25ef2b136e643271fb7116141bad61c35
cronos,AGENTFUN,$1.088000,0.00%,$1,"$515,634",0.00,https://dexscreener.com/cronos/0x861a978dc3c8183ce245a888f32e4eedd595aaa0
tron,PEPE,$0.005257,-13.23%,"$678,481","$453,388",1.50,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,BTT,$0.000000,0.04%,"$328,047","$4,339,442",0.08,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,OSP,$2.170000,10.86%,"$99,143","$4,348,884",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020170,0.62%,"$57,382","$16,801,755",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,SUNCAT,$0.000491,5.01%,"$13,533","$246,672",0.05,https://dexscreener.com/tron/thffwkt8qbmbzyhxen3dmknslm3dbsmmw4
polygon,SUT,$1.340000,23.99%,"$480,439","$736,661",0.65,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.240000,-0.02%,"$301,250","$17,086,735",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,AAVE,$170.650000,0.00%,"$48,545","$110,799",0.44,https://dexscreener.com/polygon/0x44720a6f572649526ac9073cae9200755cc78e0a
polygon,TEL,$0.004083,1.81%,"$21,168","$111,011",0.19,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018720,-0.18%,"$8,511","$186,012",0.05,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
