=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,040,543,468",5.21%,14.74%,🔥 資金暴衝
Aptos,"$458,667,947",3.99%,6.82%,🔥 資金暴衝
Mantle,"$347,139,169",3.00%,2.78%,🚀 加速流入
Ethereum,"$74,703,359,424",2.52%,9.54%,🚀 加速流入
Solana,"$8,996,025,160",2.45%,8.14%,🚀 加速流入
Base,"$4,843,284,508",2.18%,8.59%,🚀 加速流入
OP Mainnet,"$305,737,446",2.09%,5.41%,🚀 加速流入
BSC,"$6,925,043,939",1.58%,6.32%,🚀 加速流入
Arbitrum,"$3,096,765,682",1.34%,9.77%,🟢 穩健增長
Vaulta,"$393,266,052",1.28%,-6.26%,🟢 穩健增長
Avalanche,"$1,345,123,421",0.43%,7.08%,🟢 穩健增長
Cronos,"$395,164,931",0.11%,7.18%,🟢 穩健增長
Bitcoin,"$7,125,706,928",0.01%,6.72%,🟢 穩健增長
Tron,"$4,685,430,444",-0.22%,6.97%,⚠️ 資金流出
Hyperliquid L1,"$1,460,478,356",-0.73%,-0.93%,⚠️ 資金流出
Polygon,"$1,068,243,608",-3.86%,-8.54%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,CETUS,$0.028180,4.37%,"$1,339,824","$1,304,116",1.03,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,JACKSON,$0.054180,22.02%,"$251,571","$4,391,994",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.007956,2.12%,"$94,046","$102,930",0.91,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
ethereum,NUSD,$0.999500,-0.02%,"$7,758,734","$8,411,451",0.92,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,ETH+,$3436.560000,0.27%,"$2,169,069","$20,773,855",0.10,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.025900,-13.31%,"$1,337,311","$1,170,789",1.14,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,34.98%,"$1,211,461","$1,082,064",1.12,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,COCORO,$0.000007,112.00%,"$551,908","$469,351",1.18,https://dexscreener.com/ethereum/0x0d1cfdb753f03500f5ae1f565dc3823367630061
solana,JLP,$4.770000,0.03%,"$9,749,119","$2,786,367",3.50,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,FARTCOIN ,$0.425300,6.93%,"$7,276,092","$13,544,191",0.54,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,MR. TARIFF,$0.000231,292.00%,"$4,308,062","$52,123",82.65,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
solana,KASH,$0.001637,-22.27%,"$4,265,689","$150,500",28.34,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,BOB,$0.000392,586.00%,"$3,874,671","$67,751",57.19,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
base,KUDABERI,$0.003227,4.92%,"$3,543,387","$356,608",9.94,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,ZORA,$0.041900,-6.22%,"$2,679,405","$11,420,334",0.23,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,VVV,$2.260000,20.01%,"$1,330,274","$6,768,219",0.20,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,REI,$0.019580,15.42%,"$989,146","$2,245,415",0.44,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
