=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,038,679,030",5.02%,14.54%,🔥 資金暴衝
Aptos,"$458,661,267",3.99%,6.81%,🔥 資金暴衝
Mantle,"$345,653,361",2.56%,2.34%,🚀 加速流入
Base,"$4,841,893,686",2.15%,8.56%,🚀 加速流入
Ethereum,"$74,243,510,964",1.89%,8.86%,🚀 加速流入
Solana,"$8,934,025,882",1.74%,7.39%,🚀 加速流入
Arbitrum,"$3,095,783,461",1.31%,9.73%,🟢 穩健增長
OP Mainnet,"$303,090,348",1.21%,4.50%,🚀 加速流入
BSC,"$6,883,502,144",0.97%,5.68%,🚀 加速流入
Vaulta,"$391,198,682",0.75%,-6.76%,🟢 穩健增長
Avalanche,"$1,343,854,315",0.33%,6.98%,🟢 穩健增長
Tron,"$4,668,243,533",-0.58%,6.57%,⚠️ 資金流出
Bitcoin,"$7,079,111,759",-0.65%,6.02%,⚠️ 資金流出
Cronos,"$391,033,081",-0.93%,6.06%,⚠️ 資金流出
Hyperliquid L1,"$1,455,424,209",-1.07%,-1.27%,⚠️ 資金流出
Polygon,"$1,066,455,773",-4.02%,-8.69%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,CETUS,$0.028280,3.59%,"$1,320,855","$1,308,373",1.01,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,JACKSON,$0.054600,21.06%,"$251,968","$4,424,350",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.007921,-1.54%,"$84,543","$103,593",0.82,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$81,067","$376,205",0.22,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
base,ZORA,$0.041910,-6.38%,"$2,593,801","$11,420,951",0.23,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,VVV,$2.130000,12.15%,"$1,639,094","$6,569,728",0.25,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,DRB,$0.000133,127.00%,"$1,069,060","$1,351,613",0.79,https://dexscreener.com/base/0x5116773e18a9c7bb03ebb961b38678e45e238923
base,REI,$0.019580,8.73%,"$979,218","$2,245,928",0.44,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
base,MAMO,$0.033180,25.47%,"$680,533","$909,533",0.75,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db
ethereum,SUSDS,$1.082000,0.03%,"$135,195,121","$50,042,691",2.70,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,NUSD,$0.999900,-0.01%,"$7,814,419","$8,412,637",0.93,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,ETH+,$3452.380000,0.29%,"$2,170,099","$20,869,565",0.10,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.025800,-10.67%,"$1,284,297","$1,168,943",1.10,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,37.93%,"$1,213,328","$1,103,518",1.10,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
solana,FARTCOIN ,$0.420900,6.02%,"$7,157,545","$13,479,854",0.53,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,MR. TARIFF,$0.000260,341.00%,"$4,339,981","$54,291",79.94,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
solana,BOB,$0.000325,468.00%,"$4,037,878","$61,173",66.01,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,RALPH,$0.003468,613.00%,"$3,788,774","$166,349",22.78,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,KASH,$0.001720,24.56%,"$3,246,417","$154,321",21.04,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
arbitrum,GNS,$1.130000,-2.37%,"$150,106","$633,528",0.24,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005092,911.00%,"$66,407","$86,343",0.77,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.400000,-1.65%,"$23,420","$59,079",0.40,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003025,1.51%,"$14,020","$285,899",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,XAI,$0.017380,-2.05%,"$8,931","$72,421",0.12,https://dexscreener.com/arbitrum/0xba1cf57b1a7401cc24622366808cea1f209a2c50
optimism,OVER,$0.268800,-3.20%,"$48,869","$977,080",0.05,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$182.750000,-3.93%,"$19,453","$343,346",0.06,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OPP,$0.000434,9.02%,"$16,053","$168,875",0.10,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,TAROT,$0.051880,-0.81%,"$3,454","$451,345",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
bsc,RIVER,$19.600000,8.86%,"$7,409,562","$147,865",50.11,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
