=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,028,924,384",4.04%,13.46%,🔥 資金暴衝
Aptos,"$458,213,543",3.89%,6.71%,🔥 資金暴衝
Mantle,"$345,653,361",2.56%,2.34%,🚀 加速流入
Ethereum,"$74,243,510,964",1.89%,8.86%,🚀 加速流入
Solana,"$8,934,025,882",1.74%,7.39%,🚀 加速流入
Base,"$4,814,501,491",1.57%,7.94%,🚀 加速流入
OP Mainnet,"$303,090,348",1.21%,4.50%,🚀 加速流入
Arbitrum,"$3,078,535,787",0.75%,9.12%,🟢 穩健增長
Vaulta,"$391,198,682",0.75%,-6.76%,🟢 穩健增長
BSC,"$6,865,084,693",0.70%,5.40%,🟢 穩健增長
Avalanche,"$1,343,465,118",0.30%,6.95%,🟢 穩健增長
Tron,"$4,668,243,533",-0.58%,6.57%,⚠️ 資金流出
Bitcoin,"$7,079,111,759",-0.65%,6.02%,⚠️ 資金流出
Cronos,"$391,033,081",-0.93%,6.06%,⚠️ 資金流出
Hyperliquid L1,"$1,455,424,209",-1.07%,-1.27%,⚠️ 資金流出
Polygon,"$1,066,455,773",-4.02%,-8.69%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,CETUS,$0.028150,2.99%,"$1,300,565","$1,304,660",1.00,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,JACKSON,$0.054290,19.00%,"$252,060","$4,399,675",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.007921,-1.84%,"$82,519","$103,593",0.80,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
ethereum,SUSDS,$1.082000,0.03%,"$131,825,765","$50,042,680",2.63,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,USDS,$0.999800,-0.01%,"$45,640,313","$99,992,902",0.46,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,NUSD,$0.999700,-0.03%,"$7,817,425","$8,411,782",0.93,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,ETH+,$3446.640000,-0.40%,"$2,288,699","$20,834,731",0.11,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.025910,-12.12%,"$1,273,303","$1,170,865",1.09,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
solana,FARTCOIN ,$0.420000,6.17%,"$7,108,398","$13,450,939",0.53,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,MR. TARIFF,$0.000277,369.00%,"$4,349,816","$56,081",77.56,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
