=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,031,561,753",4.30%,13.75%,🔥 資金暴衝
Aptos,"$458,497,387",3.95%,6.78%,🔥 資金暴衝
Mantle,"$346,734,439",2.88%,2.66%,🚀 加速流入
Ethereum,"$74,455,597,281",2.18%,9.18%,🚀 加速流入
Base,"$4,833,303,790",1.97%,8.36%,🚀 加速流入
Solana,"$8,933,572,409",1.74%,7.39%,🚀 加速流入
OP Mainnet,"$303,415,318",1.31%,4.61%,🚀 加速流入
Vaulta,"$393,155,264",1.25%,-6.29%,🟢 穩健增長
Arbitrum,"$3,081,019,941",0.83%,9.21%,🟢 穩健增長
BSC,"$6,865,084,693",0.70%,5.40%,🟢 穩健增長
Avalanche,"$1,342,419,956",0.23%,6.86%,🟢 穩健增長
Cronos,"$394,187,123",-0.13%,6.91%,⚠️ 資金流出
Bitcoin,"$7,097,729,606",-0.39%,6.30%,⚠️ 資金流出
Tron,"$4,671,095,198",-0.52%,6.64%,⚠️ 資金流出
Hyperliquid L1,"$1,459,911,367",-0.76%,-0.97%,⚠️ 資金流出
Polygon,"$1,070,440,533",-3.66%,-8.35%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,CETUS,$0.028290,0.60%,"$1,280,284","$1,310,512",0.98,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,JACKSON,$0.054830,12.79%,"$252,261","$4,443,069",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HIPPO,$0.001232,-2.63%,"$192,951","$774,441",0.25,https://dexscreener.com/sui/0xb785e6eed355c1f8367c06d2b0cb9303ab167f8359a129bb003891ee54c6fce0
sui,HAEDAL,$0.046310,-0.77%,"$117,726","$850,939",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
sui,IKA,$0.007965,-2.87%,"$78,717","$104,020",0.76,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
ethereum,SUSDS,$1.082000,0.04%,"$116,283,492","$50,043,169",2.32,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,NUSD,$0.999700,-0.01%,"$7,836,079","$8,411,730",0.93,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,ETH+,$3442.970000,-0.70%,"$3,200,470","$20,811,081",0.15,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.026260,-11.87%,"$1,297,147","$1,181,992",1.10,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,29.91%,"$1,220,651","$1,122,390",1.09,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
base,CBBTC,$92572.096000,-2.28%,"$86,833,552","$22,983,299",3.78,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.042160,-5.07%,"$2,558,672","$11,490,028",0.22,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,VVV,$2.150000,11.86%,"$1,677,578","$6,616,933",0.25,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
