=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,066,439,330",7.83%,17.60%,🔥 資金暴衝
OP Mainnet,"$312,700,597",3.99%,7.81%,🔥 資金暴衝
Aptos,"$452,231,348",2.53%,5.32%,🚀 加速流入
Solana,"$8,977,251,147",2.24%,7.91%,🚀 加速流入
Ethereum,"$74,521,865,206",2.09%,9.27%,🚀 加速流入
BSC,"$6,912,603,722",1.40%,6.13%,🚀 加速流入
Vaulta,"$393,537,688",1.35%,-6.20%,🟢 穩健增長
Bitcoin,"$7,210,223,974",1.19%,7.98%,🚀 加速流入
Arbitrum,"$3,088,125,714",0.92%,9.46%,🟢 穩健增長
Base,"$4,840,250,624",0.78%,8.52%,🟢 穩健增長
Tron,"$4,727,544,211",0.68%,7.93%,🟢 穩健增長
Mantle,"$339,309,417",0.68%,0.46%,🚀 加速流入
Cronos,"$396,662,177",0.49%,7.58%,🟢 穩健增長
Avalanche,"$1,345,150,015",0.43%,7.08%,🟢 穩健增長
Hyperliquid L1,"$1,462,274,132",-0.52%,-0.81%,⚠️ 資金流出
Polygon,"$1,067,108,623",-4.00%,-8.64%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,US,$0.006657,2.61%,"$348,150","$648,411",0.54,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,JACKSON,$0.057590,34.51%,"$242,557","$4,668,663",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008289,8.15%,"$92,214","$108,147",0.85,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$80,626","$376,202",0.21,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
optimism,USD₮0,$1.000280,0.01%,"$334,896","$412,382",0.81,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.277000,-1.23%,"$16,847","$994,551",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.360000,-1.11%,"$10,666","$348,433",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052420,1.30%,"$1,424","$453,814",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000402,2.62%,"$1,142","$166,911",0.01,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,JLP,$4.800000,1.46%,"$8,852,441","$2,810,344",3.15,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.002231,2252.00%,"$6,785,590","$173,864",39.03,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.456600,19.86%,"$6,201,989","$14,090,579",0.44,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,RALPH,$0.003276,554.00%,"$4,077,196","$163,792",24.89,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,PONKE,$0.065940,-2.78%,"$2,803,222","$2,750,919",1.02,https://dexscreener.com/solana/5utwg3y3f5cx4ykodgtjwehdrx5hdkz5bzz72x8eq6ze
ethereum,USDS,$0.999800,-0.02%,"$44,842,636","$99,992,735",0.45,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,FRXUSD,$1.000058,-0.04%,"$4,087,169","$40,086,443",0.10,https://dexscreener.com/ethereum/0x13e12bb0e6a2f1a3d6901a59a9d585e89a6243e1
ethereum,YEE,$0.024360,-13.74%,"$1,516,469","$1,136,051",1.33,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,ETH+,$3459.010000,2.43%,"$1,350,527","$20,261,360",0.07,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,MANYU,$0.000000,55.35%,"$985,613","$1,109,620",0.89,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
bsc,RIVER,$21.110000,19.38%,"$8,867,189","$145,534",60.93,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,ARK,$19.330000,-1.61%,"$3,955,680","$85,572,100",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.041190,45.58%,"$3,092,689","$2,992,603",1.03,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,哈基米,$0.040870,-8.19%,"$2,933,834","$1,808,576",1.62,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
bsc,雪球,$0.022740,199.00%,"$2,150,281","$594,171",3.62,https://dexscreener.com/bsc/0x8892138836eb5ec0f9c9e810efd19d542cf566b8
arbitrum,PENDLE,$2.320000,6.27%,"$287,667","$445,441",0.65,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,-0.18%,"$152,700","$643,605",0.24,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.001791,256.00%,"$27,432","$113,686",0.24,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.460000,6.19%,"$14,479","$60,763",0.24,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,EPENDLE,$1.340000,7.69%,"$11,644","$562,883",0.02,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
base,CBBTC,$93823.550000,0.97%,"$79,898,931","$23,025,994",3.47,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,ZORA,$0.043390,-1.33%,"$2,732,519","$11,743,027",0.23,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,REI,$0.022150,62.20%,"$1,283,027","$2,388,560",0.54,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
base,RUSSELL,$0.008273,72.36%,"$1,270,348","$753,177",1.69,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
base,KTA,$0.250900,-3.29%,"$860,625","$8,812,965",0.10,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
tron,PEPE,$0.005341,-31.31%,"$708,801","$456,228",1.55,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,BTT,$0.000000,0.23%,"$395,736","$4,364,270",0.09,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,OSP,$2.180000,9.70%,"$99,142","$4,363,477",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,SUN,$0.020180,0.69%,"$54,863","$16,792,988",0.00,https://dexscreener.com/tron/thu6conqvz3phyhentdyw9ae3pgypwbsp6
tron,OSK,$86.076000,0.47%,"$26,331","$216,539",0.12,https://dexscreener.com/tron/ttrhkxr6cmrb5euwhphjjs5kgnbntrhqyz
cronos,H2,$0.000668,2.80%,$337,"$109,224",0.00,https://dexscreener.com/cronos/0x910c37d26a9eb4aadff925b47ffde6308e03fa37
cronos,FM,$0.007312,2.34%,$298,"$198,446",0.00,https://dexscreener.com/cronos/0x1577b7e25ef2b136e643271fb7116141bad61c35
cronos,AGENTFUN,$1.088000,4.11%,$2,"$515,634",0.00,https://dexscreener.com/cronos/0x861a978dc3c8183ce245a888f32e4eedd595aaa0
avalanche,COQ,$0.000000,-0.55%,"$177,272","$981,275",0.18,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002321,7.20%,"$149,934","$336,601",0.45,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.016310,14.98%,"$73,194","$346,901",0.21,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.072290,1.18%,"$26,503","$804,820",0.03,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,GMX,$8.470000,4.75%,"$20,243","$1,265,161",0.02,https://dexscreener.com/avalanche/0x0c91a070f862666bbcce281346be45766d874d98
polygon,SUT,$1.290000,-0.84%,"$489,471","$721,636",0.68,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.240000,0.11%,"$287,456","$17,103,718",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,AAVE,$174.580000,5.79%,"$56,503","$112,383",0.50,https://dexscreener.com/polygon/0x44720a6f572649526ac9073cae9200755cc78e0a
polygon,VOXEL,$0.012740,-1.45%,"$41,633","$244,726",0.17,https://dexscreener.com/polygon/0xf4ad214434071923dec64375961f2555947d789c
polygon,TEL,$0.004025,-0.40%,"$17,175","$110,213",0.16,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
