=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,033,945,183",4.55%,14.01%,🔥 資金暴衝
Aptos,"$456,313,755",3.46%,6.27%,🔥 資金暴衝
Mantle,"$346,734,439",2.88%,2.66%,🚀 加速流入
Ethereum,"$74,487,379,061",2.23%,9.22%,🚀 加速流入
Base,"$4,835,149,941",2.01%,8.40%,🚀 加速流入
Solana,"$8,939,340,026",1.80%,7.46%,🚀 加速流入
OP Mainnet,"$303,679,525",1.40%,4.70%,🚀 加速流入
Vaulta,"$393,179,719",1.26%,-6.28%,🟢 穩健增長
Arbitrum,"$3,082,713,273",0.88%,9.27%,🟢 穩健增長
BSC,"$6,871,245,520",0.79%,5.49%,🚀 加速流入
Avalanche,"$1,342,419,956",0.23%,6.86%,🟢 穩健增長
Bitcoin,"$7,097,729,606",-0.39%,6.30%,⚠️ 資金流出
Cronos,"$393,157,863",-0.39%,6.63%,⚠️ 資金流出
Tron,"$4,671,095,198",-0.52%,6.64%,⚠️ 資金流出
Hyperliquid L1,"$1,462,780,131",-0.57%,-0.77%,⚠️ 資金流出
Polygon,"$1,070,506,173",-3.65%,-8.34%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,CETUS,$0.028650,0.45%,"$1,268,521","$1,323,625",0.96,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,MAGMA,$0.141000,1.76%,"$1,149,066","$188,416",6.10,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,JACKSON,$0.055020,15.39%,"$252,078","$4,458,866",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HIPPO,$0.001237,-4.45%,"$185,808","$780,362",0.24,https://dexscreener.com/sui/0xb785e6eed355c1f8367c06d2b0cb9303ab167f8359a129bb003891ee54c6fce0
sui,HAEDAL,$0.046900,2.02%,"$122,055","$856,440",0.14,https://dexscreener.com/sui/0x711f5d37e3b09b026b182d9e0973d05e9a837d11066ff48f4a55a426d8913359
ethereum,SUSDS,$1.082000,0.05%,"$111,740,412","$50,043,806",2.23,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,NUSD,$0.999900,0.02%,"$7,924,944","$8,412,658",0.94,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,ETH+,$3466.170000,0.27%,"$3,191,437","$20,951,299",0.15,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,YEE,$0.027690,-8.02%,"$1,267,189","$1,222,025",1.04,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,38.13%,"$1,221,066","$1,145,835",1.07,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
base,CBBTC,$93632.430000,-0.45%,"$85,902,319","$26,874,936",3.20,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,KUDABERI,$0.003318,13.07%,"$3,585,009","$366,248",9.79,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,ZORA,$0.042970,-3.58%,"$2,630,893","$11,671,937",0.23,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,VVV,$2.150000,12.27%,"$1,700,899","$6,663,028",0.26,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,REI,$0.020330,9.24%,"$932,697","$2,308,259",0.40,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
solana,FARTCOIN ,$0.464400,10.94%,"$6,624,508","$14,341,298",0.46,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,MR. TARIFF,$0.000279,373.00%,"$4,429,909","$56,254",78.75,https://dexscreener.com/solana/4jjsok8ereabjkybbs2xluwc7jnara8imushppcammvr
solana,RALPH,$0.005517,521.00%,"$4,214,381","$213,134",19.77,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,BOB,$0.000242,322.00%,"$4,185,220","$52,533",79.67,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,KASH,$0.001170,-32.42%,"$2,824,219","$127,915",22.08,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
optimism,MOOBIFI,$183.240000,-3.65%,"$16,197","$346,856",0.05,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OPP,$0.000442,9.28%,"$15,344","$171,864",0.09,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,TAROT,$0.051980,-0.69%,"$3,452","$451,948",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
arbitrum,GNS,$1.150000,-0.21%,"$133,590","$648,451",0.21,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005092,911.00%,"$66,407","$86,343",0.77,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.430000,1.17%,"$23,796","$60,270",0.39,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003025,0.53%,"$13,936","$285,899",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,XAI,$0.017710,0.02%,"$8,448","$73,797",0.11,https://dexscreener.com/arbitrum/0xba1cf57b1a7401cc24622366808cea1f209a2c50
bsc,RIVER,$19.460000,8.42%,"$7,005,708","$146,584",47.79,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,CRYPTO WINTER,$0.000753,4621.00%,"$4,448,169","$119,989",37.07,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
