=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,042,065,371",5.37%,14.91%,🔥 資金暴衝
Aptos,"$457,106,812",3.64%,6.45%,🔥 資金暴衝
Mantle,"$347,546,375",3.13%,2.90%,🔥 資金暴衝
Ethereum,"$75,109,546,668",3.08%,10.13%,🔥 資金暴衝
Solana,"$8,985,798,921",2.33%,8.01%,🚀 加速流入
OP Mainnet,"$305,382,356",1.97%,5.29%,🚀 加速流入
Base,"$4,817,561,263",1.64%,8.01%,🚀 加速流入
Arbitrum,"$3,099,376,983",1.43%,9.86%,🚀 加速流入
Vaulta,"$393,235,498",1.27%,-6.27%,🟢 穩健增長
Bitcoin,"$7,204,542,769",1.11%,7.90%,🟢 穩健增長
BSC,"$6,887,923,339",1.04%,5.75%,🚀 加速流入
Avalanche,"$1,344,992,284",0.42%,7.07%,🟢 穩健增長
Tron,"$4,707,081,996",0.24%,7.46%,🟢 穩健增長
Cronos,"$394,692,796",-0.00%,7.05%,⚠️ 資金流出
Hyperliquid L1,"$1,470,183,683",-0.07%,-0.27%,⚠️ 資金流出
Polygon,"$1,072,096,833",-3.51%,-8.21%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.142600,2.26%,"$1,242,278","$189,527",6.55,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028830,-1.06%,"$1,221,280","$1,356,304",0.90,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,JACKSON,$0.055600,14.87%,"$251,690","$4,505,713",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,DEEP,$0.046100,-2.08%,"$220,539","$55,666",3.96,https://dexscreener.com/sui/0xa2f4e24dc234cf024bae1bd5b1275ab5bdc7c28dd1ec84dd98c2d012bbd315f0
sui,HIPPO,$0.001238,-2.95%,"$175,331","$784,338",0.22,https://dexscreener.com/sui/0xb785e6eed355c1f8367c06d2b0cb9303ab167f8359a129bb003891ee54c6fce0
ethereum,SUSDS,$1.082000,0.05%,"$96,036,197","$50,043,434",1.92,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,USDS,$0.999900,-5.27%,"$52,323,695","$99,995,371",0.52,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,CBBTC,$91872.370000,-1.80%,"$13,793,156","$213,057,012",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,YEE,$0.027760,0.55%,"$1,218,581","$1,223,588",1.00,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,28.56%,"$929,589","$1,171,415",0.79,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
