=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,045,860,945",5.75%,15.33%,🔥 資金暴衝
Aptos,"$457,818,580",3.80%,6.62%,🔥 資金暴衝
Mantle,"$347,865,627",3.22%,3.00%,🔥 資金暴衝
Ethereum,"$75,136,688,809",3.12%,10.17%,🔥 資金暴衝
OP Mainnet,"$306,697,789",2.41%,5.74%,🚀 加速流入
Solana,"$8,985,798,921",2.33%,8.01%,🚀 加速流入
Base,"$4,818,537,012",1.66%,8.03%,🚀 加速流入
Arbitrum,"$3,100,717,034",1.47%,9.91%,🚀 加速流入
Vaulta,"$393,598,574",1.37%,-6.18%,🟢 穩健增長
BSC,"$6,901,734,653",1.24%,5.96%,🚀 加速流入
Bitcoin,"$7,203,350,878",1.10%,7.88%,🟢 穩健增長
Avalanche,"$1,349,975,526",0.79%,7.46%,🟢 穩健增長
Tron,"$4,707,082,336",0.24%,7.46%,🟢 穩健增長
Hyperliquid L1,"$1,473,465,581",0.16%,-0.05%,🟢 穩健增長
Cronos,"$394,921,585",0.05%,7.11%,🟢 穩健增長
Polygon,"$1,072,421,476",-3.48%,-8.18%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.142000,1.72%,"$1,248,213","$189,118",6.60,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028860,-1.22%,"$1,219,054","$1,359,424",0.90,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,JACKSON,$0.055980,16.22%,"$251,633","$4,536,612",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,DEEP,$0.046310,-0.68%,"$218,720","$55,734",3.92,https://dexscreener.com/sui/0xa2f4e24dc234cf024bae1bd5b1275ab5bdc7c28dd1ec84dd98c2d012bbd315f0
sui,HIPPO,$0.001238,-3.15%,"$173,480","$784,338",0.22,https://dexscreener.com/sui/0xb785e6eed355c1f8367c06d2b0cb9303ab167f8359a129bb003891ee54c6fce0
ethereum,SUSDS,$1.082000,0.05%,"$89,385,153","$50,043,118",1.79,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,USDS,$0.999900,-5.27%,"$52,324,695","$99,995,371",0.52,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,CBBTC,$91872.370000,-1.80%,"$13,793,156","$213,057,012",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,NUSD,$0.999700,-0.02%,"$6,100,932","$8,411,959",0.73,https://dexscreener.com/ethereum/0x7e19f0253a564e026c63eeaa9338d6dbddef3b09
ethereum,DSYNC,$0.053850,89.49%,"$1,839,189","$3,157,159",0.58,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
optimism,MOOBIFI,$183.420000,-3.40%,"$16,508","$347,281",0.05,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OPP,$0.000442,9.79%,"$15,280","$172,046",0.09,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,TAROT,$0.052020,-0.62%,"$3,532","$452,110",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
solana,FARTCOIN ,$0.468300,8.24%,"$6,497,173","$14,387,310",0.45,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,BOB,$0.000303,430.00%,"$4,343,097","$59,037",73.57,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,AMEEN,$0.000834,1131.00%,"$4,303,367","$84,150",51.14,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,RALPH,$0.003858,65.59%,"$3,949,303","$178,138",22.17,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,PUMP,$0.002634,4.43%,"$2,738,335","$1,189,787",2.30,https://dexscreener.com/solana/bofa2viusudpbtums2krug6ahnemawjnfwqtjdgx5bkw
base,CBBTC,$93551.800000,-0.48%,"$87,533,515","$30,767,220",2.85,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,KUDABERI,$0.003358,15.20%,"$3,638,997","$369,714",9.84,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,ZORA,$0.042840,-3.20%,"$2,706,383","$11,637,858",0.23,https://dexscreener.com/base/0xedc625b74537ee3a10874f53d170e9c17a906b9c
base,VVV,$2.140000,10.65%,"$1,654,222","$6,649,363",0.25,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,AVNT,$0.351300,1.57%,"$827,219","$1,459,298",0.57,https://dexscreener.com/base/0xe30d5bf485f7476ac15884a28ffb3c9cea635dcb
arbitrum,GNS,$1.140000,-0.59%,"$123,783","$645,542",0.19,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005092,911.00%,"$66,407","$86,343",0.77,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.430000,0.69%,"$23,502","$60,243",0.39,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,T,$0.003025,0.02%,"$12,757","$285,899",0.04,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,PEAR,$0.029680,-0.03%,"$12,508","$999,435",0.01,https://dexscreener.com/arbitrum/0x299c7d6f2ef82cb52b2ab83b14f05c6b2b803aba
bsc,RIVER,$19.680000,15.65%,"$6,694,121","$148,928",44.95,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,CRYPTO WINTER,$0.000632,3843.00%,"$4,512,336","$110,385",40.88,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,BROCCOLI,$0.041170,54.53%,"$4,188,155","$3,023,989",1.38,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.300000,-0.67%,"$3,981,094","$85,512,136",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,雪球,$0.021950,145.00%,"$2,526,236","$587,697",4.30,https://dexscreener.com/bsc/0x8892138836eb5ec0f9c9e810efd19d542cf566b8
avalanche,AUSD,$1.000500,0.05%,"$11,702,255","$2,200,437",5.32,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,0.87%,"$195,172","$977,233",0.20,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002387,4.47%,"$170,412","$340,019",0.50,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015840,8.21%,"$97,446","$342,157",0.28,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.071390,-0.78%,"$63,576","$799,267",0.08,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
tron,PEPE,$0.005432,-13.58%,"$632,661","$462,190",1.37,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,BTT,$0.000000,-1.08%,"$305,200","$4,332,965",0.07,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,JST,$0.041610,0.04%,"$251,061","$7,547,454",0.03,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,OSP,$2.170000,10.86%,"$99,143","$4,348,884",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
