=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Polygon,"$1,076,187,246",0.71%,-7.23%,🟢 穩健增長
Hyperliquid L1,"$1,482,514,305",0.49%,0.60%,🚀 加速流入
Avalanche,"$1,358,739,865",0.44%,7.50%,🟢 穩健增長
Solana,"$9,073,912,086",0.43%,13.37%,🟢 穩健增長
Sui,"$1,053,984,822",0.21%,15.82%,🟢 穩健增長
Ethereum,"$75,314,046,878",0.20%,11.74%,🟢 穩健增長
Mantle,"$348,465,302",0.10%,4.73%,🟢 穩健增長
Base,"$4,838,199,345",0.03%,7.42%,🟢 穩健增長
Aptos,"$460,136,898",0.00%,4.72%,⚠️ 資金流出
Cronos,"$397,533,868",0.00%,7.49%,⚠️ 資金流出
BSC,"$6,915,676,847",-0.24%,4.56%,⚠️ 資金流出
Bitcoin,"$7,207,693,012",-0.32%,6.77%,⚠️ 資金流出
Arbitrum,"$3,110,863,255",-0.43%,7.36%,⚠️ 資金流出
Vaulta,"$393,533,760",-0.44%,3.34%,⚠️ 資金流出
Tron,"$4,708,238,924",-0.56%,6.76%,⚠️ 資金流出
OP Mainnet,"$308,544,855",-1.73%,5.80%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
polygon,SUT,$1.270000,3.67%,"$456,850","$715,395",0.64,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.240000,-0.01%,"$325,255","$17,053,428",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.159400,7.22%,"$33,886","$330,647",0.10,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004000,-2.77%,"$18,531","$109,906",0.17,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018780,-1.29%,"$7,249","$186,525",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
avalanche,AUSD,$1.000300,0.03%,"$12,109,748","$2,409,885",5.03,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-1.36%,"$207,499","$969,169",0.21,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002376,4.48%,"$170,776","$338,400",0.50,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015680,6.95%,"$94,582","$339,757",0.28,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.070620,-0.77%,"$62,742","$793,070",0.08,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
