=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$347,364,664",2.36%,4.40%,🚀 加速流入
Hyperliquid L1,"$1,482,812,929",1.16%,0.62%,🚀 加速流入
Polygon,"$1,074,554,781",0.53%,-7.37%,🟢 穩健增長
Aptos,"$458,989,965",0.47%,4.46%,🟢 穩健增長
Ethereum,"$74,725,801,704",0.26%,10.87%,🟢 穩健增長
Solana,"$9,025,270,476",0.22%,12.77%,🟢 穩健增長
Avalanche,"$1,347,327,537",0.08%,6.60%,🟢 穩健增長
Sui,"$1,042,774,927",-0.27%,14.58%,⚠️ 資金流出
BSC,"$6,886,381,681",-0.42%,4.12%,⚠️ 資金流出
Vaulta,"$393,240,941",-0.52%,3.26%,⚠️ 資金流出
Tron,"$4,701,284,182",-0.72%,6.61%,⚠️ 資金流出
Base,"$4,809,953,777",-0.97%,6.80%,⚠️ 資金流出
Arbitrum,"$3,087,752,084",-0.98%,6.56%,⚠️ 資金流出
Cronos,"$392,787,071",-1.65%,6.20%,⚠️ 資金流出
Bitcoin,"$7,145,420,053",-1.69%,5.84%,⚠️ 資金流出
OP Mainnet,"$306,183,752",-2.50%,4.99%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
polygon,SUT,$1.320000,27.29%,"$354,069","$730,842",0.48,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.240000,-0.30%,"$319,617","$17,043,715",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.159400,7.83%,"$35,052","$326,691",0.11,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004038,-1.10%,"$18,195","$110,432",0.16,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018940,-0.31%,"$8,087","$187,982",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
ethereum,SUSDS,$1.082000,0.05%,"$54,176,200","$50,042,997",1.08,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3495.420000,1.24%,"$2,632,984","$21,134,033",0.12,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.048830,57.67%,"$2,158,596","$2,997,523",0.72,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026800,-4.24%,"$1,309,877","$1,199,918",1.09,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
solana,AMEEN,$0.000649,857.00%,"$4,778,905","$74,407",64.23,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,KMNO,$0.059760,-2.01%,"$4,036,067","$2,899,286",1.39,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,BUFFETT,$0.691200,-3.56%,"$3,474,531","$621,496",5.59,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
solana,RALPH,$0.004761,44.09%,"$2,964,462","$196,879",15.06,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,PUMP,$0.002556,4.15%,"$2,849,279","$1,129,406",2.52,https://dexscreener.com/solana/bofa2viusudpbtums2krug6ahnemawjnfwqtjdgx5bkw
avalanche,AUSD,$1.000300,0.03%,"$13,131,475","$2,222,212",5.91,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-1.55%,"$234,480","$967,705",0.24,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002376,4.55%,"$171,717","$338,400",0.51,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.016040,8.79%,"$99,643","$343,237",0.29,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.070900,-0.98%,"$61,580","$794,627",0.08,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
sui,MAGMA,$0.141200,2.85%,"$1,320,547","$188,604",7.00,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028360,-5.34%,"$1,068,854","$1,347,727",0.79,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,SCA,$0.046050,4.79%,"$405,167","$455,304",0.89,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,DEEP,$0.044870,-3.82%,"$176,256","$55,047",3.20,https://dexscreener.com/sui/0xa2f4e24dc234cf024bae1bd5b1275ab5bdc7c28dd1ec84dd98c2d012bbd315f0
sui,HIPPO,$0.001249,-0.97%,"$164,431","$782,576",0.21,https://dexscreener.com/sui/0xb785e6eed355c1f8367c06d2b0cb9303ab167f8359a129bb003891ee54c6fce0
bsc,RIVER,$19.150000,30.32%,"$6,410,074","$147,960",43.32,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,BROCCOLI,$0.038990,41.39%,"$4,809,753","$2,958,899",1.63,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
