=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$347,364,664",2.36%,4.40%,🚀 加速流入
Hyperliquid L1,"$1,482,812,929",1.16%,0.62%,🚀 加速流入
Ethereum,"$75,036,627,663",0.67%,11.33%,🟢 穩健增長
Polygon,"$1,074,866,328",0.56%,-7.34%,🟢 穩健增長
Aptos,"$458,989,965",0.47%,4.46%,🟢 穩健增長
Solana,"$9,011,567,421",0.36%,12.59%,🟢 穩健增長
Avalanche,"$1,348,536,033",0.17%,6.70%,🟢 穩健增長
Base,"$4,845,221,071",-0.25%,7.58%,⚠️ 資金流出
Sui,"$1,042,774,927",-0.27%,14.58%,⚠️ 資金流出
BSC,"$6,886,381,681",-0.42%,4.12%,⚠️ 資金流出
Vaulta,"$393,240,941",-0.52%,3.26%,⚠️ 資金流出
Tron,"$4,701,284,182",-0.72%,6.61%,⚠️ 資金流出
Arbitrum,"$3,094,721,669",-0.76%,6.80%,⚠️ 資金流出
Cronos,"$392,787,071",-1.65%,6.20%,⚠️ 資金流出
Bitcoin,"$7,145,420,053",-1.69%,5.84%,⚠️ 資金流出
OP Mainnet,"$307,377,757",-2.12%,5.40%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
ethereum,SUSDS,$1.082000,0.06%,"$48,188,081","$50,043,224",0.96,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3488.880000,1.27%,"$3,772,471","$21,091,940",0.18,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.048300,51.47%,"$2,165,077","$2,977,153",0.73,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026580,-2.82%,"$1,302,657","$1,193,660",1.09,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
polygon,SUT,$1.310000,22.78%,"$381,002","$727,517",0.52,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-0.71%,"$308,141","$17,032,062",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.159700,7.82%,"$35,620","$327,210",0.11,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004034,-1.06%,"$18,172","$110,378",0.16,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018520,-0.26%,"$8,096","$184,269",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
solana,FARTCOIN ,$0.444400,-2.07%,"$5,930,596","$13,923,663",0.43,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,AMEEN,$0.000430,534.00%,"$4,863,928","$60,478",80.43,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,KMNO,$0.059730,-2.66%,"$3,942,935","$2,898,249",1.36,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,BUFFETT,$0.664200,-9.51%,"$3,503,232","$608,721",5.76,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
solana,RALPH,$0.006202,155.00%,"$2,914,152","$230,025",12.67,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
avalanche,AUSD,$1.000400,0.04%,"$13,229,260","$2,450,903",5.40,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-0.52%,"$238,557","$967,915",0.25,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
