=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$347,388,407",2.36%,4.41%,🚀 加速流入
Hyperliquid L1,"$1,484,427,554",1.28%,0.73%,🚀 加速流入
Aptos,"$459,965,550",0.68%,4.68%,🚀 加速流入
Polygon,"$1,074,708,386",0.53%,-7.35%,🟢 穩健增長
Solana,"$9,020,164,448",0.46%,12.70%,🟢 穩健增長
Ethereum,"$74,868,480,159",0.44%,11.08%,🟢 穩健增長
BSC,"$6,930,283,708",0.22%,4.78%,🟢 穩健增長
Avalanche,"$1,348,575,608",0.17%,6.70%,🟢 穩健增長
Sui,"$1,046,760,250",0.11%,15.02%,🟢 穩健增長
Base,"$4,845,221,071",-0.25%,7.58%,⚠️ 資金流出
Vaulta,"$393,135,687",-0.54%,3.23%,⚠️ 資金流出
Tron,"$4,701,303,603",-0.72%,6.61%,⚠️ 資金流出
Arbitrum,"$3,094,721,669",-0.76%,6.80%,⚠️ 資金流出
Bitcoin,"$7,161,907,988",-1.47%,6.09%,⚠️ 資金流出
Cronos,"$393,289,785",-1.52%,6.34%,⚠️ 資金流出
OP Mainnet,"$307,613,289",-2.05%,5.48%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
polygon,SUT,$1.310000,18.89%,"$394,747","$729,785",0.54,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-0.96%,"$298,272","$17,026,212",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.159100,7.40%,"$36,724","$326,017",0.11,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004039,-0.81%,"$18,121","$110,452",0.16,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018530,-0.44%,"$7,968","$184,305",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
solana,FARTCOIN ,$0.436400,-3.06%,"$5,843,809","$13,783,595",0.42,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,AMEEN,$0.000405,498.00%,"$4,905,899","$58,632",83.67,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,BOB,$0.000240,320.00%,"$4,506,763","$50,186",89.80,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,KMNO,$0.059550,-2.63%,"$3,858,758","$2,892,709",1.33,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,BUFFETT,$0.661000,-11.52%,"$3,531,600","$606,538",5.82,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
