=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$347,747,375",2.47%,4.52%,🚀 加速流入
Hyperliquid L1,"$1,484,427,554",1.28%,0.73%,🚀 加速流入
Aptos,"$459,965,550",0.68%,4.68%,🚀 加速流入
Polygon,"$1,074,708,386",0.53%,-7.35%,🟢 穩健增長
Ethereum,"$74,868,480,159",0.44%,11.08%,🟢 穩健增長
Solana,"$9,011,671,062",0.36%,12.60%,🟢 穩健增長
Avalanche,"$1,348,575,608",0.17%,6.70%,🟢 穩健增長
Sui,"$1,046,760,250",0.11%,15.02%,🟢 穩健增長
BSC,"$6,922,273,365",0.10%,4.66%,🟢 穩健增長
Base,"$4,854,287,403",-0.11%,7.78%,⚠️ 資金流出
Vaulta,"$393,135,687",-0.54%,3.23%,⚠️ 資金流出
Arbitrum,"$3,096,175,908",-0.71%,6.85%,⚠️ 資金流出
Tron,"$4,701,303,603",-0.72%,6.61%,⚠️ 資金流出
Bitcoin,"$7,161,907,988",-1.47%,6.09%,⚠️ 資金流出
Cronos,"$393,289,785",-1.52%,6.34%,⚠️ 資金流出
OP Mainnet,"$307,613,289",-2.05%,5.48%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
polygon,SUT,$1.320000,19.36%,"$422,973","$732,618",0.58,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-1.00%,"$299,403","$17,018,267",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.158900,7.36%,"$37,377","$325,688",0.11,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004045,-0.68%,"$18,061","$110,534",0.16,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018530,-0.69%,"$7,875","$184,342",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
ethereum,SUSDS,$1.082000,0.05%,"$43,020,779","$50,043,331",0.86,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3484.017000,1.23%,"$3,846,966","$21,062,714",0.18,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.044710,35.37%,"$2,218,222","$2,861,115",0.78,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026490,-2.17%,"$1,265,492","$1,189,888",1.06,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
solana,FARTCOIN ,$0.442300,-1.30%,"$5,867,075","$13,861,169",0.42,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,AMEEN,$0.000443,554.00%,"$4,924,124","$61,218",80.44,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,BOB,$0.000274,379.00%,"$4,522,690","$53,813",84.04,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,KMNO,$0.059520,-3.09%,"$3,839,650","$2,891,507",1.33,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,BUFFETT,$0.632700,-16.35%,"$3,570,587","$592,244",6.03,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
avalanche,AUSD,$1.000400,0.04%,"$13,318,987","$2,450,955",5.43,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-1.15%,"$253,818","$963,963",0.26,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002376,5.69%,"$168,741","$338,400",0.50,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015800,7.06%,"$102,624","$340,931",0.30,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.070810,-0.91%,"$61,310","$794,162",0.08,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
sui,MAGMA,$0.142400,4.76%,"$1,355,794","$189,374",7.16,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028410,-11.09%,"$906,147","$1,352,552",0.67,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,SCA,$0.046010,4.36%,"$385,188","$454,292",0.85,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.053160,-6.91%,"$238,092","$4,315,516",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,HIPPO,$0.001225,-2.08%,"$163,171","$774,382",0.21,https://dexscreener.com/sui/0xb785e6eed355c1f8367c06d2b0cb9303ab167f8359a129bb003891ee54c6fce0
bsc,RIVER,$18.710000,17.24%,"$6,215,819","$147,991",42.00,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,BROCCOLI,$0.037920,30.23%,"$4,929,739","$2,935,718",1.68,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,CRYPTO WINTER,$0.001028,210.00%,"$4,629,253","$144,023",32.14,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,我踏马来了,$0.003214,396.00%,"$4,347,204","$272,683",15.94,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,ARK,$19.190000,-0.49%,"$3,724,537","$85,257,247",0.04,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
base,CBBTC,$92594.580000,-1.15%,"$92,472,662","$29,992,239",3.08,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,KUDABERI,$0.003414,6.66%,"$3,666,143","$373,286",9.82,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,VVV,$2.058000,-0.04%,"$1,468,260","$6,476,949",0.23,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,CLANKER,$38.610000,-14.50%,"$1,107,803","$297,841",3.72,https://dexscreener.com/base/0xd23fe2db317e1a96454a2d1c7e8fc0dbf19bb000
base,MAMO,$0.030590,18.10%,"$797,069","$876,192",0.91,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db
arbitrum,GNS,$1.130000,-0.98%,"$136,635","$640,180",0.21,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.005092,911.00%,"$66,407","$86,343",0.77,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
