=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$347,445,059",2.38%,4.43%,🚀 加速流入
Hyperliquid L1,"$1,475,300,016",0.65%,0.11%,🚀 加速流入
Polygon,"$1,074,271,014",0.49%,-7.39%,🟢 穩健增長
Aptos,"$458,565,478",0.38%,4.36%,🟢 穩健增長
Sui,"$1,049,286,827",0.36%,15.30%,🟢 穩健增長
Solana,"$9,010,653,700",0.35%,12.58%,🟢 穩健增長
Ethereum,"$74,792,367,290",0.34%,10.97%,🟢 穩健增長
BSC,"$6,923,512,421",0.12%,4.68%,🟢 穩健增長
Avalanche,"$1,347,470,996",0.09%,6.61%,🟢 穩健增長
Vaulta,"$393,019,049",-0.57%,3.20%,⚠️ 資金流出
Base,"$4,825,790,580",-0.70%,7.15%,⚠️ 資金流出
Arbitrum,"$3,095,959,571",-0.72%,6.84%,⚠️ 資金流出
Tron,"$4,688,713,086",-0.98%,6.32%,⚠️ 資金流出
Cronos,"$393,674,245",-1.43%,6.44%,⚠️ 資金流出
Bitcoin,"$7,147,304,621",-1.67%,5.87%,⚠️ 資金流出
OP Mainnet,"$308,548,727",-1.76%,5.80%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
polygon,SUT,$1.360000,24.21%,"$429,084","$741,557",0.58,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-0.99%,"$298,256","$17,016,036",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.158600,7.17%,"$38,357","$325,167",0.12,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004041,-1.01%,"$18,025","$110,471",0.16,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018830,0.81%,"$10,636","$187,034",0.06,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
sui,MAGMA,$0.139400,4.70%,"$1,384,731","$187,403",7.39,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028360,-12.44%,"$652,805","$1,349,698",0.48,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,SCA,$0.046000,4.39%,"$373,947","$454,473",0.82,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.053130,-6.86%,"$237,598","$4,313,984",0.06,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,DEEP,$0.045180,-2.96%,"$158,871","$55,159",2.88,https://dexscreener.com/sui/0xa2f4e24dc234cf024bae1bd5b1275ab5bdc7c28dd1ec84dd98c2d012bbd315f0
solana,FARTCOIN ,$0.443800,0.42%,"$5,789,819","$13,896,973",0.42,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
