=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$346,987,855",2.25%,4.29%,🚀 加速流入
Hyperliquid L1,"$1,475,103,325",0.64%,0.10%,🚀 加速流入
Aptos,"$458,539,544",0.37%,4.36%,🟢 穩健增長
Ethereum,"$74,719,435,861",0.24%,10.86%,🟢 穩健增長
Solana,"$9,000,238,900",0.24%,12.45%,🟢 穩健增長
Polygon,"$1,071,611,243",0.24%,-7.62%,🟢 穩健增長
BSC,"$6,922,852,119",0.11%,4.67%,🟢 穩健增長
Sui,"$1,046,221,974",0.06%,14.96%,🟢 穩健增長
Avalanche,"$1,346,201,456",-0.00%,6.51%,⚠️ 資金流出
Vaulta,"$392,544,183",-0.69%,3.08%,⚠️ 資金流出
Base,"$4,824,923,273",-0.72%,7.13%,⚠️ 資金流出
Arbitrum,"$3,092,283,047",-0.84%,6.72%,⚠️ 資金流出
Tron,"$4,685,279,163",-1.05%,6.24%,⚠️ 資金流出
Cronos,"$392,923,419",-1.62%,6.24%,⚠️ 資金流出
Bitcoin,"$7,145,203,192",-1.70%,5.84%,⚠️ 資金流出
OP Mainnet,"$308,007,724",-1.93%,5.61%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
aptos,DOODOO,$0.085670,-1.41%,$34,"$160,478",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3473.039000,0.99%,"$4,668,538","$21,290,101",0.22,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.050200,53.07%,"$2,413,344","$3,036,550",0.79,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026380,0.81%,"$1,214,624","$1,189,262",1.02,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,NPC,$0.014040,0.86%,"$904,524","$4,342,818",0.21,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
solana,FARTCOIN ,$0.444100,3.21%,"$5,751,628","$13,921,112",0.41,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,AMEEN,$0.000547,707.00%,"$4,972,287","$68,267",72.84,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,BOB,$0.000280,390.00%,"$4,557,635","$54,064",84.30,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,BUFFETT,$0.714400,-4.78%,"$3,708,405","$631,292",5.87,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
solana,KMNO,$0.059990,-0.82%,"$3,614,801","$2,906,379",1.24,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
polygon,SUT,$1.380000,26.87%,"$440,927","$748,291",0.59,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-1.25%,"$287,236","$17,009,892",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.157900,6.84%,"$39,100","$323,960",0.12,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004041,-0.48%,"$17,051","$110,471",0.15,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018810,1.12%,"$8,206","$186,806",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
bsc,RIVER,$18.800000,7.24%,"$6,122,093","$148,897",41.12,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,我踏马来了,$0.002900,352.00%,"$5,256,151","$261,859",20.07,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,BROCCOLI,$0.036780,17.60%,"$4,921,889","$2,906,195",1.69,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,CRYPTO WINTER,$0.000875,182.00%,"$4,746,164","$133,615",35.52,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
