=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$346,849,766",2.21%,4.25%,🚀 加速流入
Hyperliquid L1,"$1,474,435,524",0.59%,0.05%,🚀 加速流入
Aptos,"$459,138,774",0.44%,4.49%,🟢 穩健增長
Ethereum,"$74,718,282,238",0.24%,10.86%,🟢 穩健增長
BSC,"$6,925,057,942",0.14%,4.70%,🟢 穩健增長
Solana,"$8,989,344,647",0.11%,12.32%,🟢 穩健增長
Polygon,"$1,069,405,217",0.04%,-7.81%,🟢 穩健增長
Sui,"$1,044,619,627",-0.09%,14.79%,⚠️ 資金流出
Avalanche,"$1,342,490,791",-0.28%,6.22%,⚠️ 資金流出
Base,"$4,834,831,289",-0.51%,7.35%,⚠️ 資金流出
Vaulta,"$392,640,831",-0.67%,3.10%,⚠️ 資金流出
Arbitrum,"$3,091,003,146",-0.88%,6.67%,⚠️ 資金流出
Tron,"$4,681,617,647",-1.13%,6.16%,⚠️ 資金流出
Bitcoin,"$7,138,681,518",-1.79%,5.74%,⚠️ 資金流出
Cronos,"$392,216,166",-1.79%,6.05%,⚠️ 資金流出
OP Mainnet,"$307,871,229",-1.97%,5.57%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3484.480000,1.51%,"$4,671,141","$21,360,225",0.22,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.049040,50.31%,"$2,436,456","$2,999,392",0.81,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026390,-0.24%,"$1,207,393","$1,188,891",1.02,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,NPC,$0.014020,1.24%,"$895,669","$4,338,908",0.21,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
bsc,RIVER,$18.940000,11.53%,"$6,087,660","$150,256",40.52,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,我踏马来了,$0.003103,364.00%,"$5,382,707","$271,249",19.84,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,BROCCOLI,$0.037080,15.53%,"$4,871,256","$2,918,392",1.67,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,CRYPTO WINTER,$0.000963,199.00%,"$4,765,139","$140,244",33.98,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,ARK,$19.220000,-0.44%,"$3,659,990","$85,327,454",0.04,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
solana,FARTCOIN ,$0.446400,4.23%,"$5,785,106","$13,958,639",0.41,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,AMEEN,$0.000555,718.00%,"$4,977,884","$95,352",52.21,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,BOB,$0.000290,407.00%,"$4,560,581","$54,975",82.96,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,BUFFETT,$0.701300,-2.63%,"$3,695,766","$625,369",5.91,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
solana,KMNO,$0.060210,-0.77%,"$3,604,227","$2,913,410",1.24,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
polygon,SUT,$1.350000,25.30%,"$449,555","$740,232",0.61,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-1.27%,"$289,064","$17,008,545",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.157700,6.69%,"$41,364","$323,581",0.13,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.004041,-0.58%,"$16,990","$110,471",0.15,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018810,1.02%,"$8,157","$186,796",0.04,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
sui,MAGMA,$0.140500,5.88%,"$1,372,542","$188,164",7.29,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.029100,-6.36%,"$500,736","$1,377,800",0.36,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,SCA,$0.046170,4.91%,"$359,770","$457,711",0.79,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.053600,-5.28%,"$237,166","$4,352,205",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
