=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$346,841,228",2.20%,4.25%,🚀 加速流入
Hyperliquid L1,"$1,474,435,524",0.59%,0.05%,🚀 加速流入
Aptos,"$459,138,774",0.44%,4.49%,🟢 穩健增長
Ethereum,"$74,837,723,565",0.40%,11.04%,🟢 穩健增長
BSC,"$6,925,057,942",0.14%,4.70%,🟢 穩健增長
Solana,"$8,986,986,039",0.09%,12.29%,🟢 穩健增長
Polygon,"$1,068,961,913",-0.00%,-7.85%,⚠️ 資金流出
Sui,"$1,044,619,627",-0.09%,14.79%,⚠️ 資金流出
Avalanche,"$1,342,490,791",-0.28%,6.22%,⚠️ 資金流出
Vaulta,"$392,640,831",-0.67%,3.10%,⚠️ 資金流出
Base,"$4,808,408,546",-1.06%,6.76%,⚠️ 資金流出
Tron,"$4,681,617,647",-1.13%,6.16%,⚠️ 資金流出
Arbitrum,"$3,080,295,393",-1.22%,6.30%,⚠️ 資金流出
Bitcoin,"$7,138,681,518",-1.79%,5.74%,⚠️ 資金流出
Cronos,"$392,216,166",-1.79%,6.05%,⚠️ 資金流出
OP Mainnet,"$306,516,865",-2.40%,5.10%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
ethereum,SUSDS,$1.082000,0.05%,"$25,821,328","$50,044,095",0.52,https://dexscreener.com/ethereum/0x00836fe54625be242bcfa286207795405ca4fd10
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3484.086000,1.14%,"$4,666,921","$21,357,804",0.22,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.049910,50.93%,"$2,501,704","$3,026,478",0.83,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026310,3.27%,"$1,189,669","$1,187,191",1.00,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
bsc,RIVER,$18.850000,9.91%,"$6,071,266","$160,554",37.81,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,我踏马来了,$0.002813,327.00%,"$5,623,760","$259,160",21.70,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,CRYPTO WINTER,$0.001014,299.00%,"$4,823,070","$144,334",33.42,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,BROCCOLI,$0.037450,9.63%,"$4,538,838","$2,934,021",1.55,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.220000,-0.58%,"$3,597,898","$85,341,341",0.04,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
