=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$346,701,626",2.16%,4.20%,🚀 加速流入
Aptos,"$459,822,185",0.59%,4.65%,🟢 穩健增長
Hyperliquid L1,"$1,474,014,885",0.56%,0.03%,🚀 加速流入
Ethereum,"$74,838,729,833",0.40%,11.04%,🟢 穩健增長
Sui,"$1,049,681,047",0.39%,15.34%,🟢 穩健增長
BSC,"$6,937,352,039",0.32%,4.89%,🟢 穩健增長
Solana,"$8,994,979,965",0.18%,12.39%,🟢 穩健增長
Polygon,"$1,068,181,474",-0.08%,-7.92%,⚠️ 資金流出
Avalanche,"$1,342,289,634",-0.29%,6.20%,⚠️ 資金流出
Base,"$4,832,733,709",-0.56%,7.30%,⚠️ 資金流出
Vaulta,"$392,465,778",-0.71%,3.06%,⚠️ 資金流出
Tron,"$4,683,921,230",-1.08%,6.21%,⚠️ 資金流出
Arbitrum,"$3,080,705,806",-1.21%,6.32%,⚠️ 資金流出
Cronos,"$394,460,806",-1.23%,6.66%,⚠️ 資金流出
Bitcoin,"$7,153,352,942",-1.58%,5.96%,⚠️ 資金流出
OP Mainnet,"$307,146,343",-2.20%,5.32%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
ethereum,CBBTC,$91984.280000,-1.68%,"$13,793,195","$213,154,848",0.06,https://dexscreener.com/ethereum/0x83f24023d15d835a213df24fd309c47dab5beb32
ethereum,ETH+,$3457.660000,0.52%,"$4,709,426","$21,195,929",0.22,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.048070,44.74%,"$2,543,645","$2,956,016",0.86,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.026110,2.59%,"$1,136,469","$1,177,360",0.97,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,18.16%,"$934,017","$1,109,728",0.84,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
sui,MAGMA,$0.139700,2.49%,"$1,364,984","$187,626",7.28,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028360,-5.65%,"$471,017","$1,362,620",0.35,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,SCA,$0.046440,4.33%,"$382,854","$462,562",0.83,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.055160,-3.20%,"$237,651","$4,476,120",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,DEEP,$0.046030,-0.85%,"$147,082","$55,447",2.65,https://dexscreener.com/sui/0xa2f4e24dc234cf024bae1bd5b1275ab5bdc7c28dd1ec84dd98c2d012bbd315f0
bsc,RIVER,$18.870000,2.77%,"$5,964,016","$161,109",37.02,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,我踏马来了,$0.002957,320.00%,"$5,776,928","$265,549",21.75,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,CRYPTO WINTER,$0.000953,217.00%,"$4,883,097","$139,745",34.94,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,BROCCOLI,$0.035960,-9.74%,"$3,913,883","$2,832,240",1.38,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.260000,-0.58%,"$3,610,471","$85,410,397",0.04,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
solana,$WIF,$0.410600,-0.54%,"$5,688,733","$8,981,722",0.63,https://dexscreener.com/solana/ep2ib6dydeeqd8mfe2ezhcxx3kp3k2elkkirfpm5eymx
solana,AMEEN,$0.000488,620.00%,"$5,010,739","$64,139",78.12,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,BOB,$0.000206,261.00%,"$4,576,233","$46,309",98.82,https://dexscreener.com/solana/6apwljue6sgd8sox5ohqyysjhhphoadprdznovvs7vpa
solana,BUFFETT,$0.629300,-10.78%,"$3,485,633","$589,540",5.91,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
solana,RALPH,$0.002214,-44.34%,"$3,072,222","$137,380",22.36,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
polygon,SUT,$1.360000,1.79%,"$392,497","$743,396",0.53,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-1.42%,"$290,440","$16,998,042",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.157000,5.98%,"$47,008","$322,128",0.15,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,QUICK,$0.013040,2.73%,"$29,978","$196,912",0.15,https://dexscreener.com/polygon/0xde2d1fd2e8238aba80a5b80c7262e4833d92f624
polygon,TEL,$0.004019,-0.25%,"$16,766","$110,179",0.15,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
avalanche,AUSD,$1.000600,0.04%,"$13,310,126","$2,452,022",5.43,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-0.98%,"$236,544","$969,159",0.24,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002423,6.84%,"$187,650","$340,918",0.55,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.015880,2.68%,"$111,894","$341,750",0.33,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,PNG,$0.043600,8.58%,"$83,560","$350,557",0.24,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
base,KUDABERI,$0.003078,-1.90%,"$3,628,178","$354,815",10.23,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,VVV,$2.043000,-0.88%,"$1,462,775","$6,429,322",0.23,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,CLANKER,$38.640000,-7.71%,"$916,847","$306,810",2.99,https://dexscreener.com/base/0xd23fe2db317e1a96454a2d1c7e8fc0dbf19bb000
base,HBET,$0.003456,-11.27%,"$797,863","$297,889",2.68,https://dexscreener.com/base/0xd59b1bf151f36ec881fc867ee22e05765c2c5e2d
base,FREN PET,$0.366700,131.00%,"$744,169","$485,756",1.53,https://dexscreener.com/base/0xde66c35e01ed8e619bf092352338ef94f2327337
tron,JST,$0.041820,2.06%,"$286,148","$7,566,818",0.04,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,PEPE,$0.005353,-10.42%,"$267,529","$459,876",0.58,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,OSP,$2.230000,13.07%,"$99,109","$4,476,341",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,BTT,$0.000000,-4.11%,"$79,107","$4,281,398",0.02,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,WIN,$0.000030,3.45%,"$50,750","$1,683,471",0.03,https://dexscreener.com/tron/tc1ghhc5igfluuuthriuuu183p8ywpmqsk
arbitrum,GNS,$1.130000,-1.72%,"$125,099","$637,035",0.20,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,ZRO,$1.430000,1.29%,"$25,095","$60,001",0.42,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,APEX,$0.475900,-6.34%,"$16,924","$290,860",0.06,https://dexscreener.com/arbitrum/0xd5ede52ddd347faf45f1345968b3ee4e579239b4
arbitrum,T,$0.003380,18.39%,"$14,065","$302,532",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.690000,4.22%,"$13,626","$69,673",0.20,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
cronos,PEPE,$0.000007,0.94%,"$7,483","$96,000",0.08,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,CROID,$0.011010,1.85%,"$3,943","$140,941",0.03,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.151800,0.50%,"$2,553","$62,453",0.04,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,MMF,$0.000126,-1.05%,$693,"$79,265",0.01,https://dexscreener.com/cronos/0xba452a1c0875d33a440259b1ea4dca8f5d86d9ae
cronos,FM,$0.007225,-1.03%,$180,"$196,434",0.00,https://dexscreener.com/cronos/0x1577b7e25ef2b136e643271fb7116141bad61c35
optimism,USD₮0,$1.000210,-0.01%,"$285,851","$429,098",0.67,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
