=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Mantle,"$346,721,437",2.17%,4.21%,🚀 加速流入
Sui,"$1,056,497,548",1.05%,16.09%,🟢 穩健增長
Hyperliquid L1,"$1,475,832,781",0.69%,0.15%,🚀 加速流入
BSC,"$6,946,222,518",0.45%,5.02%,🟢 穩健增長
Aptos,"$459,083,676",0.42%,4.48%,🟢 穩健增長
Polygon,"$1,071,529,376",0.24%,-7.63%,🟢 穩健增長
Ethereum,"$74,710,775,499",0.23%,10.85%,🟢 穩健增長
Solana,"$8,994,979,965",0.18%,12.39%,🟢 穩健增長
Avalanche,"$1,341,919,867",-0.32%,6.17%,⚠️ 資金流出
Vaulta,"$393,113,084",-0.55%,3.23%,⚠️ 資金流出
Base,"$4,832,733,709",-0.56%,7.30%,⚠️ 資金流出
Cronos,"$394,876,597",-1.13%,6.77%,⚠️ 資金流出
Arbitrum,"$3,080,216,115",-1.22%,6.30%,⚠️ 資金流出
Tron,"$4,669,171,323",-1.40%,5.88%,⚠️ 資金流出
Bitcoin,"$7,131,316,083",-1.89%,5.63%,⚠️ 資金流出
OP Mainnet,"$307,230,552",-2.18%,5.35%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,MAGMA,$0.142400,5.87%,"$1,410,212","$189,424",7.44,https://dexscreener.com/sui/0x9aedfbd1a64798b83a0d70d4432327c6372207aa2ff60ed828b799a634054411
sui,CETUS,$0.028290,-5.69%,"$459,926","$1,364,398",0.34,https://dexscreener.com/sui/0x2e041f3fd93646dcc877f783c1f2b7fa62d30271bdef1f21ef002cebf857bded
sui,SCA,$0.046260,3.83%,"$391,041","$460,946",0.85,https://dexscreener.com/sui/0x9661cca01a5b9b3536883568fa967a2943e237de11a97976795f5adb293892e9
sui,JACKSON,$0.055010,-2.84%,"$237,663","$4,463,295",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,DEEP,$0.045940,-0.93%,"$143,819","$55,419",2.60,https://dexscreener.com/sui/0xa2f4e24dc234cf024bae1bd5b1275ab5bdc7c28dd1ec84dd98c2d012bbd315f0
bsc,我踏马来了,$0.003190,395.00%,"$5,893,129","$275,343",21.40,https://dexscreener.com/bsc/0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480
bsc,RIVER,$17.980000,-11.58%,"$5,864,848","$156,860",37.39,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,CRYPTO WINTER,$0.000934,204.00%,"$4,896,914","$138,077",35.47,https://dexscreener.com/bsc/0x8e5f900d2b9a1d344c181058e8a2b4af9cd86d3e
bsc,ARK,$19.230000,-0.70%,"$3,648,016","$85,356,632",0.04,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.036370,-12.97%,"$3,566,573","$2,840,344",1.26,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
aptos,AMAPT,$1.910000,-1.55%,"$2,972","$57,465",0.05,https://dexscreener.com/aptos/liquidswapv0p5-1061
aptos,DOODOO,$0.086840,-0.19%,$35,"$162,664",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
polygon,SUT,$1.350000,2.12%,"$357,900","$739,047",0.48,https://dexscreener.com/polygon/0x6699f00b75741fc7ca4d20e190f763086f77cb41
polygon,AS,$1.230000,-1.44%,"$291,927","$16,989,398",0.02,https://dexscreener.com/polygon/0x1a9221261dc445d773e66075b9e9e52f40e15ab1
polygon,GEOD,$0.157500,6.30%,"$48,209","$323,203",0.15,https://dexscreener.com/polygon/0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01
polygon,TEL,$0.003984,-0.80%,"$16,611","$109,692",0.15,https://dexscreener.com/polygon/0xa5cabfc725dfa129f618d527e93702d10412f039
polygon,KARMA,$0.018770,0.78%,"$11,729","$186,490",0.06,https://dexscreener.com/polygon/0x6d1f31e55816141c3359c868ef9503378afc590f
ethereum,ETH+,$3420.660000,-0.83%,"$4,786,085","$20,969,225",0.23,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,DSYNC,$0.047060,41.96%,"$2,559,990","$2,918,160",0.88,https://dexscreener.com/ethereum/0x1ffec7119e315b15852557f654ae0052f76e6ae1
ethereum,YEE,$0.025630,1.09%,"$1,046,068","$1,163,529",0.90,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,MANYU,$0.000000,8.01%,"$984,196","$1,067,461",0.92,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
ethereum,NPC,$0.013700,-3.07%,"$879,215","$4,256,529",0.21,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca
solana,AMEEN,$0.000497,633.00%,"$5,023,877","$64,623",77.74,https://dexscreener.com/solana/9ezrxmamoscudv7uhxfxyyui8xghmnvmawwj66mhuwcq
solana,BUFFETT,$0.665200,-6.94%,"$3,570,515","$604,755",5.90,https://dexscreener.com/solana/9khmqaeizhdstn7u8wn58hk3trr5vq6ffimjw6chuixe
solana,KMNO,$0.059580,-2.26%,"$3,433,162","$2,893,648",1.19,https://dexscreener.com/solana/3ndjn1njvukgrjbc1hhvper6kwtzkhdydrpycjyx3cxk
solana,RALPH,$0.002282,-40.94%,"$3,068,451","$139,228",22.04,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
solana,PUMP,$0.002446,0.41%,"$2,819,470","$1,113,712",2.53,https://dexscreener.com/solana/bofa2viusudpbtums2krug6ahnemawjnfwqtjdgx5bkw
avalanche,AUSD,$1.000600,0.04%,"$13,742,844","$2,452,055",5.60,https://dexscreener.com/avalanche/0xcec377285abf370fdf872625d2742252656d631a
avalanche,COQ,$0.000000,-0.83%,"$236,675","$970,161",0.24,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002376,5.52%,"$202,828","$338,403",0.60,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,PNG,$0.042690,5.52%,"$85,170","$346,880",0.25,https://dexscreener.com/avalanche/0xd7538cabbf8605bde1f4901b47b8d42c61de0367
avalanche,JOE,$0.070460,-1.81%,"$68,726","$792,213",0.09,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
base,KUDABERI,$0.003383,4.97%,"$3,621,126","$372,064",9.73,https://dexscreener.com/base/0x29d7c815b9cdc72fd6cddf35b8aa4cc6d0cbf517
base,VVV,$2.034000,-1.51%,"$1,457,958","$6,400,402",0.23,https://dexscreener.com/base/0x01784ef301d79e4b2df3a21ad9a536d4cf09a5ce
base,HBET,$0.003576,-8.19%,"$803,455","$302,749",2.65,https://dexscreener.com/base/0xd59b1bf151f36ec881fc867ee22e05765c2c5e2d
base,FREN PET,$0.321200,102.00%,"$763,080","$453,665",1.68,https://dexscreener.com/base/0xde66c35e01ed8e619bf092352338ef94f2327337
base,KTA,$0.241900,-3.95%,"$585,099","$8,622,407",0.07,https://dexscreener.com/base/0xd9edc75a3a797ec92ca370f19051babebfb2edee
cronos,PEPE,$0.000007,-2.11%,"$7,512","$94,586",0.08,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,CROID,$0.010880,0.71%,"$3,912","$138,959",0.03,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
cronos,DOGE,$0.150500,0.55%,"$2,231","$62,056",0.04,https://dexscreener.com/cronos/0x2c30327a7ce35b9294ecf8624d1eda001b9e337f
cronos,MMF,$0.000125,-2.14%,$751,"$78,274",0.01,https://dexscreener.com/cronos/0xba452a1c0875d33a440259b1ea4dca8f5d86d9ae
cronos,FM,$0.007225,-1.03%,$180,"$196,434",0.00,https://dexscreener.com/cronos/0x1577b7e25ef2b136e643271fb7116141bad61c35
arbitrum,GNS,$1.120000,-2.26%,"$125,159","$633,745",0.20,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,ZRO,$1.420000,0.10%,"$24,678","$59,838",0.41,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,APEX,$0.475900,-7.81%,"$15,991","$290,860",0.05,https://dexscreener.com/arbitrum/0xd5ede52ddd347faf45f1345968b3ee4e579239b4
arbitrum,T,$0.003386,15.27%,"$14,981","$300,313",0.05,https://dexscreener.com/arbitrum/0xd971ff5a7530919ae67e06695710b262a72e8f2f
arbitrum,GMX,$8.690000,3.88%,"$13,530","$69,673",0.19,https://dexscreener.com/arbitrum/0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee
tron,JST,$0.041950,2.01%,"$296,439","$7,578,403",0.04,https://dexscreener.com/tron/tw68dbgdy9gtk16bfzmvacz9peti3kfkk2
tron,PEPE,$0.005423,-3.93%,"$247,556","$463,376",0.53,https://dexscreener.com/tron/tkhjbwsh7hvegxruhw4oht5t1budds2ug4
tron,OSP,$2.280000,13.22%,"$98,080","$4,563,439",0.02,https://dexscreener.com/tron/tsqxeoxd6qwhunblj9slq7p8wy59oabuf8
tron,BTT,$0.000000,-4.13%,"$80,634","$4,270,948",0.02,https://dexscreener.com/tron/tlkyq7ej4ykbs3tgevobjwkaxwyqkwo2nn
tron,EAT,$0.000721,38.12%,"$19,250","$186,843",0.10,https://dexscreener.com/tron/tyyp4ybbzx2vaifaihwgdztvwyjaao2mu2
optimism,USD₮0,$0.999900,-0.01%,"$280,834","$428,973",0.65,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,MOOBIFI,$165.061000,-11.54%,"$60,650","$325,642",0.19,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,OVER,$0.268500,-2.77%,"$56,065","$974,029",0.06,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,OPP,$0.000432,7.87%,"$15,173","$167,998",0.09,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
optimism,TAROT,$0.051850,-1.02%,"$3,952","$451,244",0.01,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
